sei;numero;ano;portaria;data_publicacao;orgao_instaurador;orgao_lesado;sigla_orgao;empresa_processada;tipo_societario;cnpj;conuta;data_decisao;decisao;fase;valor_multa
1520.01.0000463/2020-34;10;2016;14;2016-12-24;CGE;Companhia de Habitação Popular de Minas Gerais;COHAB;PROINVEST INVESTIMENTO E NEGÓCIOS LTDA;SOCIEDADE LIMITADA;01.686.779/0001-03;Ajuste para direcionar contratação ao IPCIM;2022-05-12;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;223131,65
1520.01.0000463/2020-34;10;2016;14;2016-12-24;CGE;Companhia de Habitação Popular de Minas Gerais;COHAB;MEGATRENDS CONSULTORIA EMPRESARIAL;SOCIEDADE LIMITADA;01.658.334/0001-10;Ajuste para direcionar contratação ao IPCIM;2022-05-12;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;6609,6
1520.01.0000463/2020-34;10;2016;14;2016-12-24;CGE;Companhia de Habitação Popular de Minas Gerais;COHAB;DMD GESTÃO EMPRESARIAL;SOCIEDADE LIMITADA;02.610.235/0001-20;Ajuste para direcionar contratação ao IPCIM;2022-05-12;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;37188,6
1520.01.0006651/2019-92;4;2020;14;2020-10-01;CGE;Companhia de Saneamento de Minas Gerais;COPASA;COPANORTE CONSTRUÇÕES LTDA-EPP;SOCIEDADE LIMITADA;11.178.406/0001-85;Suborno em troca de medições de serviços e liberações de OS;2023-08-30;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;73611,09
1520.01.0006651/2019-92;4;2020;14;2020-10-01;CGE;Companhia de Saneamento de Minas Gerais;COPASA;COPANELL CONSTRUÇÕES EIRELI;S.L.U. SOCIEDADE LIMITADA UNIPESSOAL;19.181.901/0001-55;Suborno em troca de medições de serviços e liberações de OS;2023-08-30;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;22763,63
1520.01.0002065/2019-45;2;2019;4;2019-04-11;CGE;Companhia de Saneamento de Minas Gerais;COPASA;CONSTRUTORA VALE DO OURO LTDA;SOCIEDADE LIMITADA;06.280.244/0001-51;Apresentação de documento com conteúdo falso;2023-12-28;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;355522,99
1520.01.0002376/2019-87;3;2019;6;2019-05-04;CGE;Companhia de Saneamento de Minas Gerais;COPASA;EMTEL EMPREENDIMENTOS, TECNOLOGIA E ENGENHARIA LTDA;SOCIEDADE LIMITADA;17.276.908/0001-25;Apresentação de documento com conteúdo falso;2023-12-28;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;4527,49
1520.01.0000470/2020-39;1;2018;5;2018-05-08;CGE;Companhia de Saneamento de Minas Gerais;COPASA;AEP CONSTRUÇÕES E URBANIZAÇÕES LTDA;SOCIEDADE LIMITADA;05.648.230/0001-85;Apresentação de documento com conteúdo falso;2022-12-14;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;371423,37
1520.01.0000463/2020-34;10;2016;14;2016-12-24;CGE;Companhia de Saneamento de Minas Gerais;COPASA;IPCIM - INSTITUTO DE PESQUISA E CIÊNCIA DA MÉTRICA;SOCIEDADE LIMITADA;13.144.375/0001-77;Ajuste para direcionar contratação ao IPCIM;2022-05-12;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;223131,65
1520.01.0009427/2020-21;5;2020;15;2020-10-02;CGE;Companhia Energética de Minas Gerais S.A;COPASA;POSTES DE FIBRA LITORAL INDÚSTRIA E COMÉRCIO LTDA;SOCIEDADE LIMITADA;03.362.908/0001-33;Apresentação de documento com conteúdo falso;2023-01-06;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;251293,61
